"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test updates an existing booking in the Booking Service and verifies the response.","0","Test Update Booking","","Mon Jul 29 16:48:26 AMT 2024","skipped","Mon Jul 29 16:48:26 AMT 2024","","Booking Update Suite","",""
"Test deletes a booking by its ID and verifies the response.","599","Test Delete Booking by ID","","Mon Jul 29 16:48:28 AMT 2024","failed","Mon Jul 29 16:48:28 AMT 2024","","Booking Delete Suite","",""
"Test to create authentication token for booking API.","582","Test Booking Token Creation","","Mon Jul 29 16:48:23 AMT 2024","passed","Mon Jul 29 16:48:24 AMT 2024","","Create Token Booking Suite","",""
"This test checks the retrieval of a specific booking by ID from the Booking Service.","598","Get Booking by ID","","Mon Jul 29 16:48:25 AMT 2024","passed","Mon Jul 29 16:48:26 AMT 2024","","Get Booking Suite","",""
"This test checks the health status of the Booking Service to ensure it is up and running.","634","Health Check Test","","Mon Jul 29 16:48:23 AMT 2024","passed","Mon Jul 29 16:48:23 AMT 2024","","Ping Tests","",""
"Test attempts to update an existing booking with an invalid token and verifies the response.","0","Test Negative Update Booking","","Mon Jul 29 16:48:26 AMT 2024","broken","Mon Jul 29 16:48:26 AMT 2024","","Update Booking Suite","",""
"Test creates a new booking in the Booking Service and verifies the response.","598","Create Booking Test","","Mon Jul 29 16:48:24 AMT 2024","passed","Mon Jul 29 16:48:25 AMT 2024","","Create Booking Suite","",""
"Test attempts to partially update an existing booking with an invalid token and verifies the response.","582","Negative Partial Update Booking Test with Invalid Token","","Mon Jul 29 16:48:26 AMT 2024","passed","Mon Jul 29 16:48:27 AMT 2024","","Partial Update Booking Suite","",""
"This test checks the retrieval of all bookings from the Booking Service.","750","Get All Bookings","","Mon Jul 29 16:48:25 AMT 2024","passed","Mon Jul 29 16:48:25 AMT 2024","","Get Booking Suite","",""
"This test attempts to partially update an existing booking without token and verifies the response.","584","Negative Partial Update Booking Test without Token","","Mon Jul 29 16:48:27 AMT 2024","passed","Mon Jul 29 16:48:28 AMT 2024","","Partial Update Booking Suite","",""
"Test partially updates an existing booking in the Booking Service and verifies the response.","600","Test Partial Update Booking","","Mon Jul 29 16:48:26 AMT 2024","passed","Mon Jul 29 16:48:26 AMT 2024","","Partial Update Booking Suite","",""
